,GJD-2450000,airmass,sky,dx,dy,flux(10),err(10),flux(11),err(11),flux(12),err(12),flux(13),err(13),flux(14),err(14),flux(15),err(15)
190,8062.996186,1.3181,522.2,-2.426,-0.871,1.002766,0.0034439999999999996,1.002577,0.003593,1.0021309999999999,0.00375,1.001566,0.003915999999999999,1.001182,0.0040880000000000005,1.0005899999999999,0.004267
191,8062.9968,1.3191,520.2,-2.247,-1.115,1.001017,0.003462,1.000193,0.0036119999999999998,0.999184,0.003773,0.997668,0.00394,0.9993299999999999,0.004118999999999999,0.999149,0.004302
192,8062.997436,1.3201,520.0,-2.148,-1.453,1.002541,0.003452,1.004515,0.003607,1.004788,0.003768,1.003757,0.003935,1.0011809999999999,0.004105,0.998928,0.004282
193,8062.998061,1.3212,520.7,-2.7739999999999996,-1.4480000000000002,1.001937,0.003464,1.000916,0.0036130000000000003,1.000889,0.003773,1.0001959999999999,0.003939,1.000679,0.004116,1.0008270000000001,0.004296
194,8062.998698,1.3224,519.2,-1.966,-1.508,1.001419,0.0034549999999999997,0.999627,0.0036,0.999877,0.003759,1.000122,0.003927,1.00129,0.004102000000000001,1.0014809999999998,0.00428
195,8062.999323,1.3235,516.3,-2.271,-1.6280000000000001,1.004551,0.0034509999999999996,1.003683,0.003597,1.0037260000000001,0.0037549999999999997,1.0022309999999999,0.003919,1.000652,0.004089,0.999131,0.004263
196,8062.999948000001,1.3245,514.2,-2.2030000000000003,-0.878,1.004533,0.0034460000000000003,1.00387,0.003595,1.002506,0.003752,1.002042,0.003918,1.002053,0.004093,0.999682,0.00427
197,8063.000573,1.3258,541.3,-2.718,-1.219,0.9963110000000001,0.0034700000000000004,0.9960629999999999,0.003624,0.996268,0.00379,0.9963540000000001,0.003961999999999999,0.996258,0.00414,0.996713,0.004325
198,8063.001209,1.3269,557.8,-2.344,-1.435,1.001542,0.0034990000000000004,1.001666,0.003654,1.0035459999999998,0.003822,1.001741,0.003991,1.000392,0.004168,1.0004469999999999,0.004353
199,8063.001845999999,1.3281,546.2,-2.503,-2.009,1.000099,0.003493,0.9999100000000001,0.0036439999999999997,0.999771,0.0038060000000000004,0.998001,0.003972,0.9962129999999999,0.004147,0.996498,0.004333
